고객ID,성별,연령,개시일,서비스기간,단선횟수,지불방법,요금제,핸드셋
K109830,남,49,12/05/98,29.466667,2,선불,CAT100,ASAD170
K109840,여,34,16/10/99,12.066667,0,선불,CAT100,S80
K109850,여,32,14/05/97,41.566667,10,선불,CAT100,S80
K109860,여,31,20/05/99,17.033333,0,선불,CAT100,S50
K109870,남,46,26/05/96,53.333333,1,선불,CAT100,ASAD170
K109880,여,62,12/01/99,21.3,9,선불,CAT100,ASAD170
K109890,여,31,20/02/99,20,0,선불,CAT100,ASAD170
K109900,여,36,10/01/99,21.366667,1,선불,CAT100,S50
K109910,여,47,26/11/96,47.2,0,선불,CAT100,S50
K109920,남,40,15/10/97,36.433333,4,선불,CAT100,S80
K109930,여,29,14/07/96,51.7,10,선불,CAT100,ASAD170
K109940,남,26,04/12/96,46.933333,1,선불,CAT100,S80
K109950,여,42,04/05/99,17.566667,4,선불,CAT100,S80
K109960,남,35,18/12/97,34.3,0,선불,CAT100,S50
K109970,여,31,19/03/98,31.266667,0,선불,CAT100,S80
K109980,남,36,03/08/99,14.533333,2,선불,CAT100,S50
K109990,남,28,08/04/97,42.766667,1,선불,CAT100,S80
K110000,여,47,08/09/97,37.666667,1,선불,CAT100,ASAD90
K110010,남,73,09/06/99,16.366667,2,선불,CAT100,S80
K110020,여,26,04/06/96,53.033333,1,선불,CAT100,S50
K110030,남,26,18/05/99,17.1,0,선불,CAT100,S50
K110040,남,28,13/11/98,23.3,0,선불,CAT100,ASAD90
K110050,여,26,01/12/99,10.533333,2,선불,CAT100,S80
K110060,여,35,06/08/98,26.6,7,선불,CAT100,ASAD90
K110070,남,54,10/04/98,30.533333,2,선불,CAT100,S50
K110080,여,29,25/06/98,28,0,선불,CAT100,S80
K110090,남,29,24/03/98,31.1,1,선불,CAT100,S80
K110100,남,33,15/12/98,22.233333,0,선불,CAT100,S80
K110110,남,26,22/10/98,24.033333,0,선불,CAT100,S50
K110120,여,31,21/09/97,37.233333,10,선불,CAT100,ASAD90
K110130,여,33,03/01/97,45.933333,1,선불,CAT100,S50
K110140,여,51,02/12/96,47,4,선불,CAT100,ASAD170
K110150,남,30,15/05/97,41.533333,1,선불,CAT100,ASAD170
K110160,여,33,19/09/97,37.3,0,선불,CAT100,S80
K110170,남,28,13/02/96,56.766667,2,선불,CAT100,ASAD170
K110180,여,55,19/04/99,18.066667,1,선불,CAT100,ASAD90
K110190,남,44,19/07/97,39.366667,1,선불,CAT100,S50
K110200,여,30,16/02/96,56.666667,1,선불,CAT100,S50
K110210,남,50,19/11/98,23.1,3,선불,CAT100,ASAD170
K110220,남,40,19/05/98,29.233333,4,선불,CAT100,S50
K110230,여,43,17/04/99,18.133333,1,선불,CAT100,S80
K110240,남,47,27/06/99,15.766667,2,선불,CAT100,S50
K110250,여,48,05/03/99,19.566667,8,선불,CAT100,ASAD170
K110260,여,34,02/05/99,17.633333,10,선불,CAT100,S50
K110270,여,46,03/06/96,53.066667,5,선불,CAT100,ASAD90
K110280,남,30,08/07/98,27.566667,2,선불,CAT100,S80
K110290,여,37,28/05/96,53.266667,0,선불,CAT100,ASAD90
K110300,남,35,12/05/98,29.466667,0,선불,CAT100,S50
K110310,여,49,21/09/98,25.066667,9,선불,CAT100,S50
K110320,여,38,15/08/98,26.3,6,선불,CAT100,ASAD170
K110330,남,51,27/12/99,9.666667,2,선불,CAT100,ASAD90
K110340,남,26,15/04/99,18.2,8,선불,CAT100,ASAD170
K110350,남,38,21/09/96,49.4,0,선불,CAT100,S80
K110360,여,45,20/12/99,9.9,0,선불,CAT100,S80
K110370,여,26,09/01/97,45.733333,0,선불,CAT100,S80
K110380,남,48,20/03/96,55.566667,5,선불,CAT100,S50
K110390,남,40,17/11/96,47.5,7,선불,CAT100,S80
K110400,여,36,17/11/99,11,5,선불,CAT100,ASAD90
K110410,여,28,16/10/97,36.4,1,선불,CAT100,S50
K110420,여,37,05/06/99,16.5,0,선불,CAT100,S50
K110430,남,42,04/04/98,30.733333,0,선불,CAT100,S50
K110440,남,52,06/08/98,26.6,1,선불,CAT100,S80
K110450,여,29,01/06/99,16.633333,0,선불,CAT100,ASAD170
K110460,여,26,07/03/96,56,0,선불,CAT100,ASAD90
K110470,여,38,07/08/99,14.4,7,선불,CAT100,S80
K110480,남,31,27/11/96,47.166667,1,선불,CAT100,S80
K110490,남,50,25/06/99,15.833333,1,선불,CAT100,S80
K110500,남,26,19/01/96,57.6,11,선불,CAT100,ASAD90
K110510,남,43,18/07/96,51.566667,10,선불,CAT100,S80
K110520,여,28,19/05/96,53.566667,0,선불,CAT100,ASAD170
K110530,남,52,15/04/96,54.7,2,선불,CAT100,S80
K110540,여,29,22/04/98,30.133333,3,선불,CAT100,S80
K110550,남,41,18/12/98,22.133333,11,선불,CAT100,ASAD90
K110560,여,49,22/08/98,26.066667,1,선불,CAT100,S50
K110570,남,41,11/06/98,28.466667,2,선불,CAT100,ASAD90
K110580,남,33,15/10/98,24.266667,4,선불,CAT100,S80
K110590,남,50,15/01/96,57.733333,2,선불,CAT100,ASAD90
K110600,남,36,06/06/96,52.966667,2,선불,CAT100,ASAD90
K110610,여,27,06/09/98,25.566667,0,선불,CAT100,ASAD90
K110620,여,38,26/12/99,9.7,1,선불,CAT100,ASAD170
K110630,여,37,09/08/96,50.833333,2,선불,CAT100,S80
K110640,남,37,02/10/98,24.7,8,선불,CAT100,ASAD170
K110650,여,52,01/01/96,58.2,1,선불,CAT100,ASAD170
K110660,여,37,03/01/97,45.933333,11,선불,CAT100,ASAD90
K110670,여,50,26/08/97,38.1,1,선불,CAT100,ASAD90
K110680,여,45,14/12/98,22.266667,1,선불,CAT100,ASAD90
K110690,남,46,01/06/97,40.966667,2,선불,CAT100,S80
K110700,남,46,19/05/98,29.233333,0,선불,CAT100,S50
K110710,남,33,20/04/96,54.533333,0,선불,CAT100,ASAD170
K110720,여,27,27/06/98,27.933333,2,선불,CAT100,S50
K110730,여,47,09/04/96,54.9,2,선불,CAT100,ASAD90
K110740,남,38,27/05/97,41.133333,1,선불,CAT100,S50
K110750,남,34,03/08/96,51.033333,2,선불,CAT100,S80
K110760,여,40,22/01/96,57.5,2,선불,CAT100,ASAD90
K110770,남,36,25/09/96,49.266667,6,선불,CAT100,S50
K110780,남,28,25/08/97,38.133333,1,선불,CAT100,S80
K110790,여,28,07/05/97,41.8,2,선불,CAT200,S80
K110800,여,28,06/05/97,41.833333,1,선불,CAT200,S80
K110810,여,27,10/07/99,15.333333,0,선불,CAT200,S80
K110820,남,28,31/07/98,26.8,8,선불,CAT200,ASAD90
K110830,남,29,28/05/97,41.1,1,선불,CAT200,ASAD170
K110840,남,31,26/04/99,17.833333,11,선불,CAT200,ASAD170
K110850,남,43,20/03/97,43.4,2,선불,CAT200,S50
K110860,여,30,23/08/99,13.866667,2,선불,CAT200,ASAD170
K110870,남,26,26/08/99,13.766667,2,선불,CAT200,ASAD90
K110880,남,28,19/06/96,52.533333,0,선불,CAT200,S80
K110890,남,35,23/10/97,36.166667,1,선불,CAT200,ASAD170
K110900,여,54,04/06/97,40.866667,2,선불,CAT200,S80
K110910,남,38,21/05/97,41.333333,2,선불,CAT200,S80
K110920,남,35,14/03/99,19.266667,0,선불,CAT200,S50
K110930,남,60,21/01/96,57.533333,1,선불,CAT200,S50
K110940,남,50,01/03/96,56.2,2,선불,CAT200,ASAD170
K110950,여,53,17/12/99,10,0,선불,CAT200,S50
K110960,남,30,25/09/96,49.266667,0,선불,CAT200,S50
K110970,남,29,14/06/98,28.366667,0,선불,CAT200,ASAD170
K110980,여,27,02/10/97,36.866667,11,선불,CAT200,S50
K110990,남,40,25/01/99,20.866667,2,선불,CAT200,S50
K111000,여,42,21/07/98,27.133333,8,선불,CAT200,ASAD90
K111010,여,31,01/05/98,29.833333,4,선불,CAT200,ASAD90
K111020,여,42,26/08/97,38.1,0,선불,CAT200,S50
K111030,남,30,25/12/97,34.066667,2,선불,CAT200,S50
K111040,남,46,20/10/96,48.433333,1,선불,CAT200,S80
K111050,여,73,28/05/99,16.766667,0,선불,CAT200,S50
K111060,남,28,14/02/99,20.2,0,선불,CAT200,ASAD170
K111070,여,32,28/11/97,34.966667,1,선불,CAT200,ASAD90
K111080,남,34,09/03/97,43.766667,1,선불,CAT200,S50
K111090,남,41,11/11/98,23.366667,6,선불,CAT200,ASAD90
K111100,여,46,07/04/97,42.8,8,선불,CAT200,ASAD170
K111110,여,29,10/04/96,54.866667,0,선불,CAT200,S80
K111120,여,37,27/10/99,11.7,0,선불,CAT200,ASAD90
K111130,남,33,23/04/98,30.1,1,선불,CAT200,ASAD90
K111140,여,27,10/07/96,51.833333,1,선불,CAT200,ASAD90
K111150,여,34,28/11/98,22.8,2,선불,CAT200,ASAD170
K111160,여,32,20/07/99,15,1,선불,CAT200,S80
K111170,남,46,25/03/96,55.4,0,선불,CAT200,ASAD170
K111180,여,49,21/06/96,52.466667,0,선불,CAT200,S80
K111190,남,35,03/05/99,17.6,1,선불,CAT200,ASAD170
K111200,여,33,15/06/99,16.166667,0,선불,CAT200,ASAD90
K111210,남,29,27/08/99,13.733333,2,선불,CAT200,S80
K111220,남,34,09/12/98,22.433333,2,선불,CAT200,ASAD90
K111230,남,57,07/08/97,38.733333,1,선불,CAT200,S50
K111240,남,27,05/08/98,26.633333,1,선불,CAT200,ASAD90
K111250,여,34,31/01/96,57.2,2,선불,CAT200,S80
K111260,여,65,04/08/98,26.666667,1,선불,CAT200,S50
K111270,남,45,07/07/99,15.433333,2,선불,CAT200,ASAD170
K111280,남,26,28/06/99,15.733333,1,선불,CAT200,ASAD90
K111290,여,28,23/07/97,39.233333,2,선불,CAT200,ASAD170
K111300,남,52,15/08/96,50.633333,0,선불,CAT200,ASAD90
K111310,여,29,28/07/97,39.066667,2,선불,CAT200,S50
K111320,남,37,06/07/96,51.966667,2,선불,CAT200,S50
K111330,남,31,04/12/99,10.433333,1,선불,CAT200,ASAD90
K111340,여,45,06/06/98,28.633333,5,선불,CAT200,S80
K111350,남,33,01/03/98,31.866667,1,선불,CAT200,ASAD90
K111360,여,37,27/11/99,10.666667,3,선불,CAT200,S50
K111370,남,28,08/08/98,26.533333,0,선불,CAT200,S50
K111380,남,57,10/10/97,36.6,2,선불,CAT200,S80
K111390,남,44,21/07/98,27.133333,6,선불,CAT200,S80
K111400,남,38,15/11/97,35.4,1,선불,CAT200,ASAD170
K111410,남,31,18/01/99,21.1,1,선불,CAT200,S50
K111420,여,29,14/10/98,24.3,2,선불,CAT200,S50
K111430,남,46,01/05/97,42,0,선불,CAT200,S80
K111440,여,35,04/08/97,38.833333,1,선불,CAT200,S50
K111450,여,52,02/08/99,14.566667,2,선불,CAT200,ASAD90
K111460,남,41,05/12/99,10.4,11,선불,CAT200,S80
K111470,남,41,21/01/96,57.533333,1,선불,CAT200,ASAD170
K111480,남,33,22/07/96,51.433333,11,선불,CAT200,S80
K111490,남,53,28/08/97,38.033333,7,선불,CAT200,S80
K111500,남,36,18/05/99,17.1,2,선불,CAT200,S50
K111510,남,27,31/01/97,45,1,선불,CAT200,ASAD90
K111520,여,29,19/07/99,15.033333,9,선불,CAT200,S50
K111530,여,30,06/10/97,36.733333,9,선불,CAT200,ASAD170
K111540,여,46,03/02/96,57.1,0,선불,CAT200,S50
K111550,여,28,01/11/99,11.533333,6,선불,CAT200,ASAD90
K111560,여,32,31/08/96,50.1,0,선불,CAT200,ASAD90
K111570,남,42,27/04/96,54.3,2,선불,CAT200,ASAD170
K111580,남,26,31/10/99,11.566667,11,선불,CAT200,S50
K111590,남,28,20/03/98,31.233333,2,선불,CAT200,ASAD90
K111600,여,26,24/05/98,29.066667,9,선불,CAT200,ASAD90
K111610,남,28,20/04/98,30.2,1,선불,CAT200,S80
K111620,남,39,14/12/97,34.433333,1,선불,CAT200,S50
K111630,남,52,20/12/99,9.9,0,선불,CAT200,ASAD90
K111640,남,35,08/12/98,22.466667,2,선불,CAT200,S50
K111650,남,30,17/03/96,55.666667,0,선불,CAT200,S50
K111660,남,41,16/01/96,57.7,1,선불,CAT200,ASAD170
K111670,남,38,26/11/97,35.033333,0,선불,CAT200,S50
K111680,여,38,02/08/96,51.066667,0,선불,CAT200,S80
K111690,남,61,18/11/99,10.966667,5,선불,CAT200,ASAD170
K111700,여,30,09/02/96,56.9,1,선불,CAT200,ASAD90
K111710,여,32,24/05/96,53.4,0,선불,CAT200,S80
K111720,남,34,09/12/96,46.766667,0,선불,CAT200,S50
K111730,남,48,05/12/97,34.733333,1,선불,CAT200,S50
K111740,여,29,04/06/96,53.033333,2,선불,CAT200,ASAD170
K111750,남,46,10/04/96,54.866667,0,선불,CAT200,S50
K111760,여,51,11/11/97,35.533333,0,선불,CAT200,S50
K111770,남,27,12/11/98,23.333333,1,선불,CAT200,S50
K111780,남,39,06/05/99,17.5,5,선불,CAT200,ASAD90
K111790,여,33,13/01/98,33.433333,1,선불,CAT200,S80
K111800,남,44,04/07/96,52.033333,0,선불,CAT200,ASAD90
K111810,여,29,12/09/98,25.366667,0,선불,CAT200,S80
K111820,여,54,24/07/99,14.866667,9,선불,CAT200,ASAD170
K111830,남,55,21/05/98,29.166667,10,선불,CAT200,ASAD170
K111840,남,60,27/01/97,45.133333,3,선불,CAT200,ASAD170
K111850,남,30,15/04/98,30.366667,2,선불,CAT200,ASAD90
K111860,여,37,15/06/99,16.166667,0,선불,CAT200,S80
K111870,남,42,16/08/98,26.266667,2,선불,CAT200,S50
K111880,여,52,11/02/99,20.3,1,선불,CAT200,S50
K111890,여,46,16/01/97,45.5,2,선불,CAT200,S50
K111900,남,48,20/11/97,35.233333,6,선불,CAT200,S50
K111910,남,30,25/03/99,18.9,1,선불,CAT200,S50
K111920,남,32,26/10/97,36.066667,1,선불,CAT200,S50
K111930,여,32,13/04/98,30.433333,6,선불,CAT200,ASAD170
K111940,남,38,06/08/97,38.766667,1,선불,CAT200,S80
K111950,여,38,23/04/96,54.433333,0,선불,CAT200,ASAD90
K111960,여,42,07/06/97,40.766667,10,선불,CAT200,S80
K111970,여,57,24/03/96,55.433333,1,선불,CAT200,ASAD170
K111980,남,30,03/08/98,26.7,1,선불,CAT200,S50
K111990,여,48,10/04/99,18.366667,1,선불,CAT200,ASAD90
K112000,여,44,14/02/98,32.366667,1,선불,CAT200,S80
K112010,남,44,03/01/99,21.6,6,선불,CAT200,S50
K112020,남,50,17/06/96,52.6,9,선불,CAT200,S80
K112030,여,28,20/01/98,33.2,5,선불,CAT200,S80
K112040,남,43,28/10/97,36,0,선불,CAT200,ASAD90
K112050,남,55,06/07/97,39.8,1,선불,CAT200,S50
K112060,남,44,20/02/98,32.166667,1,선불,CAT200,ASAD170
K112070,여,32,22/10/96,48.366667,5,선불,CAT200,ASAD90
K112080,여,28,27/04/98,29.966667,3,선불,CAT200,S50
K112090,여,26,22/07/97,39.266667,0,선불,CAT200,ASAD170
K112100,남,27,13/08/99,14.2,0,선불,CAT200,S80
K112110,여,39,25/11/96,47.233333,1,선불,CAT200,ASAD170
K112120,여,32,18/12/98,22.133333,2,선불,CAT200,ASAD90
K112130,여,28,23/11/98,22.966667,0,선불,CAT200,ASAD170
K112140,남,61,06/08/96,50.933333,2,선불,CAT200,ASAD90
K112150,남,32,10/06/98,28.5,1,선불,CAT200,S50
K112160,여,33,14/07/98,27.366667,2,선불,CAT200,ASAD170
K112170,남,41,20/10/96,48.433333,7,선불,CAT200,ASAD170
K112180,여,35,23/08/96,50.366667,0,선불,CAT200,S80
K112190,여,54,12/08/98,26.4,1,선불,CAT200,ASAD90
K112200,여,32,22/01/97,45.3,0,선불,CAT200,S50
K112210,여,45,11/05/97,41.666667,1,선불,CAT200,ASAD170
K112220,여,66,20/10/97,36.266667,6,선불,CAT200,S80
K112230,여,46,12/02/98,32.433333,0,선불,CAT200,ASAD170
K112240,여,28,24/05/98,29.066667,2,선불,CAT200,ASAD170
K112250,남,34,16/11/98,23.2,2,선불,CAT200,ASAD170
K112260,여,39,27/01/99,20.8,3,선불,CAT200,ASAD90
K112270,남,43,11/11/97,35.533333,6,선불,CAT200,S50
K112280,남,40,26/07/97,39.133333,1,선불,CAT200,ASAD90
K112290,여,34,26/03/97,43.2,10,선불,CAT200,S80
K112300,남,45,27/06/97,40.1,1,선불,CAT200,S80
K112310,여,49,22/07/96,51.433333,8,선불,CAT200,S80
K112320,여,32,11/06/96,52.8,2,선불,CAT200,S80
K112330,여,34,16/03/96,55.7,1,선불,CAT200,ASAD170
K112340,여,35,14/05/99,17.233333,2,선불,CAT200,ASAD170
K112350,여,26,14/01/99,21.233333,1,선불,CAT200,S80
K112360,남,33,26/09/97,37.066667,2,선불,CAT200,ASAD170
K112370,여,41,07/04/96,54.966667,1,선불,CAT200,S50
K112380,여,27,27/06/98,27.933333,1,선불,CAT200,ASAD170
K112390,남,46,24/10/96,48.3,1,선불,CAT200,ASAD170
K112400,남,39,09/08/97,38.666667,1,선불,CAT200,S50
K112410,남,29,12/12/97,34.5,0,선불,CAT200,S80
K112420,여,38,25/02/96,56.366667,0,선불,CAT200,ASAD90
K112430,여,40,08/06/98,28.566667,9,선불,CAT200,S50
K112440,여,54,25/01/97,45.2,0,선불,CAT200,S80
K112450,여,53,05/06/99,16.5,1,선불,CAT200,S80
K112460,여,48,11/07/98,27.466667,1,선불,CAT200,ASAD170
K112470,여,31,25/07/99,14.833333,6,선불,CAT200,ASAD170
K112480,남,26,05/10/98,24.6,1,선불,CAT200,ASAD90
K112490,여,65,03/06/97,40.9,4,선불,CAT200,ASAD170
K112500,여,33,16/02/96,56.666667,0,선불,CAT200,S80
K112510,남,32,24/10/97,36.133333,1,선불,CAT200,S80
K112520,여,44,15/07/99,15.166667,0,선불,CAT200,S50
K112530,여,46,27/01/99,20.8,0,선불,CAT200,S80
K112540,여,32,01/12/99,10.533333,1,선불,CAT200,S50
K112550,남,29,04/06/98,28.7,1,선불,CAT200,S80
K112560,남,59,08/08/98,26.533333,1,선불,CAT200,ASAD90
K112570,여,42,03/03/97,43.966667,10,선불,CAT200,S50
K112580,남,34,17/01/99,21.133333,1,선불,CAT200,ASAD90
K112590,남,30,22/04/98,30.133333,1,선불,CAT200,S80
K112600,남,32,12/09/96,49.7,1,선불,CAT200,S50
K112610,남,60,04/06/99,16.533333,0,선불,CAT200,S50
K112620,여,28,04/04/98,30.733333,1,선불,CAT200,S50
K112630,남,28,08/10/99,12.333333,0,선불,CAT200,ASAD90
K112640,남,30,07/03/96,56,2,선불,CAT200,S80
K112650,여,45,02/09/96,50.033333,9,선불,CAT200,S50
K112660,여,55,06/06/97,40.8,2,선불,CAT200,ASAD170
K112670,남,41,09/07/96,51.866667,1,선불,CAT200,S80
K112680,여,40,27/09/99,12.7,2,선불,CAT200,S50
K112690,남,41,06/05/99,17.5,0,선불,CAT200,ASAD90
K112700,여,36,09/05/98,29.566667,3,선불,CAT200,S80
K112710,남,27,05/08/98,26.633333,1,선불,CAT200,S80
K112720,남,26,02/09/99,13.533333,2,선불,CAT200,ASAD90
K112730,남,37,01/08/98,26.766667,1,선불,CAT200,ASAD90
K112740,남,35,13/10/97,36.5,9,선불,CAT200,ASAD90
K112750,남,27,19/04/98,30.233333,0,선불,CAT200,S50
K112760,남,48,19/02/99,20.033333,0,선불,CAT200,S50
K112770,여,30,19/10/97,36.3,6,선불,CAT200,ASAD170
K112780,여,26,11/02/98,32.466667,0,선불,CAT200,ASAD170
K112790,남,42,07/06/97,40.766667,8,선불,CAT200,ASAD170
K112800,여,26,04/10/99,12.466667,1,선불,CAT200,ASAD90
K112810,남,37,06/12/96,46.866667,2,선불,CAT200,S80
K112820,남,29,01/06/99,16.633333,9,선불,CAT200,S80
K112830,남,27,26/08/99,13.766667,11,선불,CAT200,S80
K112840,남,52,31/12/99,9.533333,9,선불,CAT200,ASAD90
K112850,여,31,02/03/96,56.166667,2,선불,CAT200,S50
K112860,남,27,25/01/99,20.866667,2,선불,CAT200,S50
K112870,남,36,19/11/96,47.433333,2,선불,CAT200,S80
K112880,여,29,13/10/98,24.333333,1,선불,CAT200,S80
K112890,남,35,14/02/99,20.2,2,선불,CAT200,S50
K112900,여,26,31/12/97,33.866667,2,선불,CAT200,S80
K112910,여,39,01/11/99,11.533333,1,선불,CAT200,ASAD170
K112920,남,34,05/12/99,10.4,0,선불,CAT200,ASAD90
K112930,남,42,21/10/97,36.233333,9,선불,CAT200,S50
K112940,여,32,28/12/97,33.966667,0,선불,CAT200,S80
K112950,남,27,06/08/98,26.6,0,선불,CAT200,ASAD90
K112960,남,40,27/02/97,44.1,2,선불,CAT200,ASAD170
K112970,남,40,21/03/99,19.033333,10,선불,CAT200,ASAD90
K112980,여,46,21/07/98,27.133333,2,선불,CAT200,S80
K112990,여,38,07/11/96,47.833333,9,선불,CAT200,ASAD170
K113000,남,66,17/07/99,15.1,7,선불,CAT200,S50
K113010,남,48,19/11/97,35.266667,1,선불,CAT200,S50
K113020,남,29,20/06/98,28.166667,1,선불,CAT200,S50
K113030,남,28,17/12/96,46.5,1,선불,CAT200,ASAD170
K113040,남,57,01/04/96,55.166667,1,선불,CAT200,S80
K113050,여,38,25/05/98,29.033333,1,선불,CAT200,ASAD170
K113060,남,32,10/02/99,20.333333,1,선불,CAT200,ASAD170
K113070,남,32,09/12/99,10.266667,2,선불,CAT200,S80
K113080,남,42,28/02/96,56.266667,0,선불,CAT200,S80
K113090,남,53,24/12/98,21.933333,1,선불,CAT200,S80
K113100,여,35,27/12/98,21.833333,6,선불,CAT200,S50
K113110,여,38,05/03/98,31.733333,1,선불,CAT200,ASAD90
K113120,남,41,26/01/99,20.833333,7,선불,CAT200,ASAD90
K113130,여,33,27/06/97,40.1,2,선불,CAT200,S80
K113140,여,38,02/03/99,19.666667,2,선불,CAT200,ASAD170
K113150,남,29,05/08/96,50.966667,0,선불,CAT200,S80
K113160,여,48,12/06/96,52.766667,0,선불,CAT200,ASAD90
K113170,남,35,02/06/97,40.933333,2,선불,CAT200,ASAD170
K113180,남,32,02/02/99,20.6,2,선불,CAT200,S50
K113190,남,27,11/11/99,11.2,0,선불,CAT200,ASAD90
K113200,여,35,27/07/97,39.1,0,선불,CAT200,S50
K113210,여,30,07/06/96,52.933333,1,선불,CAT200,S80
K113220,남,66,27/12/96,46.166667,1,선불,CAT200,ASAD170
K113230,남,37,03/12/98,22.633333,6,선불,CAT200,S50
K113240,남,31,23/06/96,52.4,1,선불,CAT200,S50
K113250,남,31,18/07/99,15.066667,0,선불,CAT200,ASAD90
K113260,남,53,26/10/98,23.9,2,선불,CAT200,ASAD170
K113270,여,30,13/01/98,33.433333,2,선불,CAT200,S80
K113280,남,34,25/07/98,27,0,선불,CAT200,S80
K113290,여,52,07/06/99,16.433333,1,선불,CAT200,S80
K113300,남,33,22/06/97,40.266667,1,선불,CAT200,ASAD170
K113310,여,35,04/11/99,11.433333,2,선불,CAT200,S50
K113320,여,42,16/03/99,19.2,1,선불,CAT200,ASAD170
K113330,여,33,28/10/97,36,1,선불,CAT200,S50
K113340,남,39,28/03/98,30.966667,1,선불,CAT200,ASAD170
K113350,여,61,19/12/96,46.433333,5,선불,CAT200,S50
K113360,여,38,17/12/96,46.5,0,선불,CAT200,S80
K113370,남,45,20/05/99,17.033333,2,선불,CAT200,S80
K113380,남,35,10/12/99,10.233333,1,선불,CAT200,ASAD170
K113390,여,40,02/10/99,12.533333,10,선불,CAT200,S80
K113400,여,49,06/10/98,24.566667,2,선불,CAT200,S50
K113410,여,26,16/01/96,57.7,2,선불,CAT200,S80
K113420,남,48,23/03/99,18.966667,9,선불,CAT200,ASAD90
K113430,여,58,12/02/96,56.8,0,선불,CAT200,ASAD90
K113440,남,41,16/09/96,49.566667,2,선불,CAT200,S50
K113450,남,28,08/01/97,45.766667,1,선불,CAT200,S80
K113460,남,27,04/10/96,48.966667,0,선불,CAT200,ASAD90
K113470,여,44,20/04/96,54.533333,1,선불,CAT200,ASAD90
K113480,남,61,05/09/97,37.766667,9,선불,CAT200,ASAD90
K113490,여,38,13/09/96,49.666667,2,선불,CAT200,S50
K113500,여,33,01/04/99,18.666667,0,선불,CAT200,ASAD170
K113510,남,60,24/07/96,51.366667,2,선불,CAT200,S80
K113520,여,28,01/07/96,52.133333,2,선불,CAT200,S50
K113530,남,27,18/08/97,38.366667,1,선불,CAT200,ASAD170
K113540,여,37,15/01/98,33.366667,1,선불,CAT200,S80
K113550,여,42,28/04/98,29.933333,8,선불,CAT200,S80
K113560,남,41,19/05/98,29.233333,1,선불,CAT200,S50
K113570,여,41,25/10/96,48.266667,11,선불,CAT200,ASAD90
K113580,남,44,10/12/98,22.4,1,선불,CAT200,S50
K113590,여,36,08/11/98,23.466667,0,선불,CAT200,ASAD170
K113600,남,29,07/12/96,46.833333,0,선불,CAT200,ASAD170
K113610,여,68,22/07/99,14.933333,2,선불,CAT200,ASAD170
K113620,여,26,06/01/99,21.5,8,선불,CAT200,ASAD90
K113630,여,30,26/08/97,38.1,1,선불,CAT200,S80
K113640,여,46,03/03/96,56.133333,1,선불,CAT200,S80
K113650,여,58,02/01/96,58.166667,0,선불,CAT200,S80
K113660,남,39,19/01/96,57.6,1,선불,CAT200,S50
K113670,남,37,13/09/99,13.166667,2,선불,CAT200,ASAD90
K113680,남,35,17/09/99,13.033333,0,선불,CAT200,S80
K113690,남,37,25/04/99,17.866667,1,선불,CAT200,S80
K113700,남,26,20/04/96,54.533333,0,선불,CAT200,S50
K113710,여,37,17/08/98,26.233333,0,선불,CAT200,S80
K113720,남,41,17/01/99,21.133333,0,선불,CAT200,ASAD170
K113730,여,28,21/08/96,50.433333,1,선불,CAT200,ASAD90
K113740,여,46,16/11/97,35.366667,0,선불,CAT200,ASAD90
K113750,남,34,18/02/96,56.6,1,선불,CAT200,S50
K113760,남,48,05/10/96,48.933333,2,선불,CAT200,ASAD170
K113770,여,38,19/12/96,46.433333,2,선불,CAT200,ASAD170
K113780,여,32,25/02/97,44.166667,1,선불,CAT200,ASAD170
K113790,남,45,08/08/98,26.533333,1,선불,CAT200,S50
K113800,여,37,25/10/98,23.933333,0,선불,CAT200,S80
K113810,남,30,01/03/99,19.7,2,선불,CAT200,S50
K113820,여,34,04/08/98,26.666667,1,선불,CAT200,ASAD90
K113830,남,59,23/08/99,13.866667,1,선불,CAT200,S50
K113840,남,37,23/05/98,29.1,8,선불,CAT200,ASAD90
K113850,남,61,26/04/97,42.166667,0,선불,CAT200,S80
K113860,여,38,27/11/96,47.166667,11,선불,CAT200,S80
K113870,여,37,26/05/98,29,1,선불,CAT200,S50
K113880,남,42,08/04/98,30.6,0,선불,CAT200,ASAD90
K113890,여,30,12/12/99,10.166667,1,선불,CAT200,ASAD170
K113900,남,33,16/11/98,23.2,0,선불,CAT200,S50
K113910,여,40,24/01/97,45.233333,0,선불,CAT200,ASAD170
K113920,남,55,04/07/98,27.7,1,선불,CAT200,S50
K113930,남,33,19/09/97,37.3,0,선불,CAT200,S80
K113940,여,31,26/04/96,54.333333,0,선불,CAT200,S50
K113950,여,30,04/01/98,33.733333,1,선불,CAT200,ASAD90
K113960,여,29,02/06/98,28.766667,0,선불,CAT200,ASAD170
K113970,여,50,13/09/96,49.666667,1,선불,CAT200,S50
K113980,여,40,15/04/97,42.533333,2,선불,CAT200,S80
K113990,남,48,27/05/98,28.966667,1,선불,CAT200,ASAD170
K114000,남,41,15/02/97,44.5,2,선불,CAT200,S50
K114010,남,60,25/03/99,18.9,0,선불,CAT200,ASAD170
K114020,여,31,12/05/97,41.633333,2,선불,CAT200,S80
K114030,남,41,07/04/99,18.466667,1,선불,CAT200,S80
K114040,남,51,18/11/98,23.133333,1,선불,CAT200,ASAD170
K114050,여,45,06/04/97,42.833333,8,선불,CAT200,ASAD90
