고객ID,주간통화횟수,주간통화시간_분,야간통화횟수,야간통화시간_분,주말통화횟수,주말통화시간_분,국제통화시간_분,국내통화요금_분,평균주간통화시간,평균야간통화시간,평균주말통화시간,국내통화횟수,국내통화시간_분,평균국내통화시간,총통화시간_분,이탈여부
K128790,740,1425,9,43.199999,47,82.800001,485.744604,33.674275,1.925676,4.8,1.761702,796,1551,1.948492,2036.744604,이탈
K128800,432,1165.799999,38,101.400001,2,57,395.617622,11.677164,2.698611,2.668421,28.5,472,1324.2,2.805508,1719.817622,이탈
K128810,651,1755.599999,220,357.899999,32,57,275.056078,87.774247,2.696774,1.626818,1.78125,903,2170.499998,2.403654,2445.556076,유지
K128820,375,1013.400001,162,288.900001,5,33,272.26721,11.899164,2.7024,1.783333,6.6,542,1335.300002,2.463653,1607.567212,이탈
K128830,456,1230,29,105.3,10,27,445.223522,15.44191,2.697368,3.631034,2.7,495,1362.3,2.752121,1807.523522,유지
K128840,266,719.4,289,445.2,27,55.2,205.326901,1.573871,2.704511,1.540484,2.044444,582,1219.8,2.095876,1425.126901,유지
K128850,278,751.200001,199,387.900001,37,62.4,194.345109,0.121891,2.702158,1.949246,1.686486,514,1201.500002,2.337549,1395.845111,유지
K128860,425,1149.599999,141,381,11,138.599999,255.018478,39.617211,2.704941,2.702128,12.6,577,1669.199998,2.892894,1924.218476,유지
K128870,365,986.399999,167,275.7,6,10.8,280.747345,6.469595,2.702466,1.650898,1.8,538,1272.899999,2.365985,1553.647344,이탈
K128880,687,1723.8,145,321.300001,5,40.500001,283.767852,80.878517,2.50917,2.215862,8.1,837,2085.600002,2.491756,2369.367854,이탈
K128890,694,1337.4,282,647.7,4,20.4,372.948819,67.133032,1.927089,2.296809,5.1,980,2005.5,2.046429,2378.448819,유지
K128900,319,863.399999,13,240.600001,8,18.600001,356.789612,0,2.706583,18.507692,2.325,340,1122.600001,3.301765,1479.389613,이탈
K128910,571,1101,59,95.400001,13,59.400001,207.946867,5.236081,1.928196,1.616949,4.569231,643,1255.800002,1.953033,1463.746869,유지
K128920,941,1559.400001,146,228.599999,4,25,551.857018,57.012719,1.657173,1.565753,6.25,1091,1813,1.661778,2364.857018,이탈
K128930,495,1343.400001,159,802.8,16,25.8,259.23407,78.659503,2.713939,5.049057,1.6125,670,2172.000001,3.241791,2431.234071,유지
K128940,457,1241.4,4,45.9,29,45,219.782759,12.778674,2.716411,11.475,1.551724,490,1332.3,2.71898,1552.082759,유지
K128950,513,990,44,113.099998,60,99.5,393.236657,0.237018,1.929825,2.570454,1.658333,617,1202.599998,1.949109,1595.836655,유지
K128960,550,1495.8,12,604.5,5,51,686.616411,80.63697,2.719636,50.375,10.2,567,2151.3,3.79418,2837.916411,유지
K128970,678,1138.8,12,196.5,25,97.2,300.48299,20.866572,1.679646,16.375,3.888,715,1432.5,2.003497,1732.98299,이탈
K128980,309,838.800001,110,206.100001,6,12.499999,328.229326,0,2.714563,1.873636,2.083333,425,1057.400001,2.488,1385.629327,유지
K128990,366,919.199999,10,116.1,17,40.199999,251.236356,0,2.511475,11.61,2.364706,393,1075.499998,2.736641,1326.736354,이탈
K129000,492,1337.4,52,151.2,3,49,290.303591,31.562175,2.718293,2.907692,16.333333,547,1537.6,2.810969,1827.903591,이탈
K129010,709,1368.599999,44,82.5,2,17.4,479.428702,25.936715,1.930324,1.875,8.7,755,1468.499999,1.945033,1947.928701,유지
K129020,528,887.399999,150,523.5,1,55.8,248.541548,21.403099,1.680682,3.49,55.8,679,1466.699999,2.160088,1715.241547,유지
K129030,473,1287,250,570,5,9.6,518.883076,56.310664,2.72093,2.28,1.92,728,1866.6,2.564011,2385.483076,이탈
K129040,616,1188.600001,169,286.500002,45,87,238.875873,31.881073,1.929545,1.695266,1.933333,830,1562.100003,1.882048,1800.975876,유지
K129050,282,769.8,57,404.100001,10,18,216.619524,0,2.729787,7.089474,1.8,349,1191.900001,3.415186,1408.519525,유지
K129060,302,824.4,9,394.8,21,37.8,201.005682,4.719165,2.729801,43.866667,1.8,332,1257,3.786145,1458.005682,유지
K129070,625,1705.2,12,142.2,1,15.6,236.444467,63.492126,2.72832,11.85,15.6,638,1863,2.920063,2099.444467,유지
K129080,414,799.200001,178,365.699999,21,43.200001,357.12266,0.672922,1.930435,2.054494,2.057143,613,1208.100001,1.970799,1565.222661,이탈
K129090,271,739.2,177,538.8,4,46,312.686063,9.661511,2.727675,3.044068,11.5,452,1324,2.929204,1636.686063,유지
K129100,390,1065,2,167.1,6,24,311.640918,5.183254,2.730769,83.55,4,398,1256.1,3.15603,1567.740918,유지
K129110,448,1122.6,186,321,25,63,429.657135,26.752711,2.505804,1.725806,2.52,659,1506.6,2.286191,1936.257135,유지
K129120,365,914.400001,106,569.400001,1,14,315.929888,23.980277,2.505205,5.371698,14,472,1497.800002,3.173305,1813.72989,유지
K129130,791,1246.2,37,486.599999,57,98,258.41116,53.008837,1.575474,13.151351,1.719298,885,1830.799999,2.068701,2089.211159,유지
K129140,816,1576.8,198,467.4,34,66,636.413323,79.516335,1.932353,2.360606,1.941176,1048,2110.2,2.01355,2746.613323,유지
K129150,329,900,96,353.699999,32,51,321.609128,8.846175,2.735562,3.684375,1.59375,457,1304.699999,2.854923,1626.309127,유지
K129160,577,955.800001,16,85.500001,43,77,320.181866,0,1.656499,5.34375,1.790698,636,1118.300002,1.758333,1438.481868,유지
K129170,492,920.400001,1,83.4,23,64.8,270.16863,0,1.870732,83.4,2.817391,516,1068.600001,2.07093,1338.768631,유지
K129180,490,917.399999,32,285,45,90,213.760128,7.89947,1.872245,8.90625,2,567,1292.399999,2.279365,1506.160127,이탈
K129190,497,962.399999,357,788.7,20,38.399999,353.542086,45.326768,1.936419,2.209244,1.92,874,1789.499998,2.047483,2143.042084,이탈
K129200,298,816.599999,134,263.400001,0,0,202.703489,0,2.740268,1.965672,0,432,1080,2.5,1282.703489,이탈
K129210,646,1767.599999,88,188.400001,25,42.599999,454.874854,75.244854,2.736223,2.140909,1.704,759,1998.599999,2.633202,2453.474853,이탈
K129220,997,2728.199999,179,412.800001,2,9.5,728.974375,181.977533,2.736409,2.306145,4.75,1178,3150.5,2.674448,3879.474375,이탈
K129230,391,1071,38,240.6,0,0,407.312674,10.731457,2.73913,6.331579,0,429,1311.6,3.057343,1718.912674,유지
K129240,392,1074.599999,16,53.7,7,47,238.93307,0,2.741327,3.35625,6.714286,415,1175.299999,2.832048,1414.233069,유지
K129250,683,1147.8,89,805.8,8,16.8,535.771166,60.958719,1.680527,9.053933,2.1,780,1970.4,2.526154,2506.171166,유지
K129260,503,1381.199999,177,360.599999,2,54.6,216.902072,52.747734,2.745924,2.037288,27.3,682,1796.399998,2.634018,2013.30207,유지
K129270,665,1048.2,122,862.2,7,12,186.656492,55.814644,1.576241,7.067213,1.714286,794,1922.4,2.421159,2109.056492,유지
K129280,484,1327.8,37,235.2,9,52.8,249.967963,37.874394,2.743388,6.356757,5.866667,530,1615.8,3.048679,1865.767963,유지
K129290,869,1682.399999,289,446.399999,5,10.8,600.460551,83.921089,1.936018,1.544637,2.16,1163,2139.599998,1.839725,2740.060549,유지
K129300,282,776.4,217,407.699999,6,18,283.085517,0.172816,2.753191,1.878802,3,505,1202.099999,2.380396,1485.185516,유지
K129310,401,1002,150,396,4,55.5,269.008795,21.412771,2.498753,2.64,13.875,555,1453.5,2.618919,1722.508795,이탈
K129320,347,955.8,54,226.2,34,113.4,372.284267,8.289503,2.754467,4.188889,3.335294,435,1295.4,2.977931,1667.684267,유지
K129330,625,1210.799999,241,468,18,46.799999,467.121723,44.71986,1.93728,1.941909,2.6,884,1725.599998,1.952036,2192.721721,유지
K129340,426,1173.6,110,321.300001,72,113,243.580385,35.281231,2.75493,2.920909,1.569444,608,1607.900001,2.644572,1851.480386,유지
K129350,392,759.6,66,223.8,32,67,220.30104,0,1.937755,3.390909,2.09375,490,1050.4,2.143673,1270.70104,유지
K129360,357,985.8,143,238.8,2,19.2,379.777117,3.925731,2.761345,1.66993,9.6,502,1243.8,2.477689,1623.577117,유지
K129370,490,1224,30,684.6,9,79.500001,242.971461,63.665208,2.497959,22.82,8.833333,529,1988.100001,3.758223,2231.071462,유지
K129380,307,848.400001,107,164.400001,12,88.200001,241.148132,0,2.763518,1.536449,7.35,426,1101.000003,2.584507,1342.148135,유지
K129390,334,922.2,76,253.499999,30,49.8,277.538048,2.234448,2.761078,3.335526,1.66,440,1225.499999,2.785227,1503.038047,유지
K129400,789,1473.6,32,55.199999,1,97.5,485.774177,40.628648,1.867681,1.725,97.5,822,1626.299999,1.978467,2112.074176,유지
K129410,1215,1900.2,212,374.700001,8,15.6,318.521192,99.758969,1.563951,1.767453,1.95,1435,2290.500001,1.596167,2609.021193,유지
K129420,479,1324.2,2,138.3,7,25.8,368.425447,27.240602,2.764509,69.15,3.685714,488,1488.3,3.049795,1856.725447,이탈
K129430,285,788.399999,166,365.399999,14,61.2,189.260343,1.236668,2.766316,2.201205,4.371429,465,1214.999998,2.612903,1404.260341,이탈
K129440,980,1621.8,34,270.600001,21,98.399999,507.334117,71.751158,1.654898,7.958824,4.685714,1035,1990.8,1.923478,2498.134117,이탈
K129450,485,1341.599999,34,407.400001,5,9.500002,338.651793,49.229623,2.766186,11.982353,1.9,524,1758.500002,3.355916,2097.151795,유지
K129460,547,1021.2,19,186.3,42,69.600001,381.674276,6.93755,1.86691,9.805263,1.657143,608,1277.100001,2.100493,1658.774277,이탈
K129470,431,1194.6,109,415.8,8,16.2,250.950969,36.995079,2.771694,3.814679,2.025,548,1626.6,2.968248,1877.550969,유지
K129480,1292,2412,446,674.4,6,29,977.723297,169.916896,1.866873,1.512108,4.833333,1744,3115.4,1.786353,4093.123297,유지
K129490,422,1174.8,243,533.700001,3,31.8,271.594511,45.251638,2.783886,2.196296,10.6,668,1740.300001,2.60524,2011.894512,유지
K129500,265,736.8,147,397.2,37,123.6,350.123024,4.567327,2.780377,2.702041,3.340541,449,1257.6,2.800891,1607.723024,이탈
K129510,277,771,73,182.1,2,66.5,234.953355,0,2.783394,2.494521,33.25,352,1019.6,2.896591,1254.553355,이탈
K129520,305,850.2,49,259.500001,4,42,337.817823,0,2.787541,5.295918,10.5,358,1151.700001,3.217039,1489.517824,유지
K129530,564,933.600001,15,132.9,19,58.5,292.970761,0,1.655319,8.86,3.078947,598,1125.000001,1.881271,1417.970762,유지
K129540,580,977.4,82,468.9,7,24,329.467994,22.499262,1.685172,5.718293,3.428571,669,1470.3,2.197758,1799.767994,이탈
K129550,353,985.2,102,178.5,6,15.5,327.808781,0,2.790935,1.75,2.583333,461,1179.2,2.557918,1507.008781,이탈
K129560,456,1274.400001,265,650.1,20,32.400001,448.30177,62.490954,2.794737,2.453208,1.62,741,1956.900002,2.640891,2405.201772,유지
K129570,872,1696.8,26,274.2,14,58.8,613.862886,76.173334,1.945872,10.546154,4.2,912,2029.8,2.225658,2643.662886,유지
K129580,486,1358.4,48,641.1,6,15.6,572.380155,68.228371,2.795062,13.35625,2.6,540,2015.1,3.731667,2587.480155,이탈
K129590,1554,2430,71,221.700001,7,37,339.696213,141.708049,1.563707,3.122535,5.285714,1632,2688.700001,1.647488,3028.396214,유지
K129600,624,1051.8,266,643.2,13,60,524.588433,44.381025,1.685577,2.418045,4.615385,903,1755,1.943522,2279.588433,이탈
K129610,468,1310.4,146,499.499999,22,42,263.720689,55.659143,2.8,3.421233,1.909091,636,1851.899999,2.911792,2115.620688,유지
K129620,322,901.800001,55,95.7,12,20,237.195469,0,2.800621,1.74,1.666667,389,1017.500001,2.615681,1254.69547,유지
K129630,656,1224,33,114.6,2,5.5,243.590937,13.766208,1.865854,3.472727,2.75,691,1344.1,1.945152,1587.690937,유지
K129640,340,952.2,100,296.4,1,12,333.222767,5.318725,2.800588,2.964,12,441,1260.6,2.858503,1593.822767,이탈
K129650,455,1274.4,92,282.300001,28,45.6,205.019779,36.1136,2.800879,3.068478,1.628571,575,1602.300001,2.786609,1807.31978,유지
K129660,566,885.599999,35,65.099999,48,132.599999,347.070268,0,1.564664,1.86,2.7625,649,1083.299997,1.669183,1430.370265,이탈
K129670,210,589.800001,194,405.6,58,97.800001,207.643404,0,2.808571,2.090722,1.686207,462,1093.200002,2.366234,1300.843406,유지
K129680,1111,1872.600001,22,312.3,37,81.600001,290.052099,97.382532,1.685509,14.195455,2.205405,1170,2266.500002,1.937179,2556.552101,유지
K129690,954,1857,47,224.1,56,111,195.534892,91.627026,1.946541,4.768085,1.982143,1057,2192.1,2.073888,2387.634892,유지
K129700,505,1419.6,286,466.500001,31,59.500001,376.231451,64.481217,2.811089,1.631119,1.919355,822,1945.600002,2.36691,2321.831453,유지
K129710,452,1271.4,8,26.7,56,89.4,213.028272,17.965541,2.812832,3.3375,1.596429,516,1387.5,2.688953,1600.528272,유지
K129720,550,1546.799999,311,548.100001,31,48,630.844618,81.175466,2.812364,1.762379,1.548387,892,2142.9,2.402354,2773.744618,유지
K129730,290,817.200001,224,383.1,20,67.799999,231.822319,5.599281,2.817931,1.710268,3.39,534,1268.1,2.374719,1499.922319,유지
K129740,483,1359.599999,48,103.2,4,70.2,278.025949,31.416693,2.814907,2.15,17.55,535,1532.999999,2.865421,1811.025948,이탈
K129750,632,1066.2,33,356.7,24,44,388.064879,23.044665,1.687025,10.809091,1.833333,689,1466.9,2.129028,1854.964879,유지
K129760,500,974.4,244,506.7,14,23.500001,449.119899,25.09316,1.9488,2.076639,1.678572,758,1504.600001,1.98496,1953.7199,유지
K129770,554,1560,56,91.200001,0,0,349.595952,44.854981,2.815884,1.628571,0,610,1651.200001,2.706885,2000.795953,유지
K129780,510,1437.6,2,4.8,0,0,305.268069,24.299252,2.818824,2.4,0,512,1442.4,2.817187,1747.668069,유지
K129790,309,871.199999,57,326.399999,1,45,243.328953,3.623365,2.819417,5.726316,45,367,1242.599998,3.385831,1485.928951,유지
K129800,399,1125.6,182,448.200001,3,17.5,406.183288,33.404228,2.821053,2.462637,5.833333,584,1591.300001,2.724829,1997.483289,이탈
K129810,367,1035,13,48,49,124.199999,362.255053,0.668648,2.820163,3.692308,2.534694,429,1207.199999,2.813986,1569.455052,이탈
K129820,215,608.4,36,341.1,29,82.8,239.845062,0,2.829767,9.475,2.855172,280,1032.3,3.686786,1272.145062,유지
K129830,581,1641,351,685.800001,14,51,338.539883,99.531977,2.824441,1.953846,3.642857,946,2377.800001,2.513531,2716.339884,이탈
K129840,719,1403.4,212,398.1,4,11,184.820755,54.33762,1.951878,1.87783,2.75,935,1812.5,1.938503,1997.320755,유지
K129850,275,778.800001,150,380.100001,35,81,375.788804,3.248091,2.832,2.534,2.314286,460,1239.900002,2.695435,1615.688806,유지
K129860,464,1310.399999,145,591.299999,9,93,252.998842,65.838545,2.824138,4.077931,10.333333,618,1994.699998,3.22767,2247.69884,이탈
K129870,384,1086.600001,30,165,31,55.2,398.749678,9.780194,2.829688,5.5,1.780645,445,1306.800001,2.936629,1705.549679,유지
K129880,616,1203,19,62.400001,8,66,265.625819,12.506391,1.952922,3.284211,8.25,643,1331.400001,2.070607,1597.02582,유지
K129890,393,1113,101,450.599999,24,63.599999,464.60835,35.970177,2.832061,4.461386,2.65,518,1627.199998,3.141313,2091.808348,유지
K129900,1201,2346,23,765,6,26.400001,440.747432,169.304825,1.953372,33.26087,4.4,1230,3137.400001,2.550732,3578.147433,유지
K129910,430,1216.2,195,301.8,8,25.2,377.959431,30.683842,2.828372,1.547692,3.15,633,1543.2,2.437915,1921.159431,유지
K129920,649,1026.6,7,106.2,4,7.8,347.347108,0,1.581818,15.171429,1.95,660,1140.6,1.728182,1487.947108,유지
K129930,681,1150.8,125,226.2,17,29.4,419.821152,18.764436,1.689868,1.8096,1.729412,823,1406.4,1.70887,1826.221152,유지
K129940,529,1034.4,33,171.6,43,66.500001,237.752403,6.571717,1.955388,5.2,1.546512,605,1272.500001,2.103306,1510.252404,유지
K129950,466,1321.2,99,207.6,20,38.4,233.373954,33.83807,2.835193,2.09697,1.92,585,1567.2,2.678974,1800.573954,유지
K129960,536,1048.200001,13,105,50,93,245.602739,4.25298,1.955597,8.076923,1.86,599,1246.200001,2.080467,1491.80274,유지
K129970,661,1873.2,180,289.8,5,32.5,580.284178,92.243016,2.833888,1.61,6.5,846,2195.5,2.595154,2775.784178,유지
K129980,718,2037,99,552.3,2,9,368.442063,124.726552,2.837047,5.578788,4.5,819,2598.3,3.172527,2966.742063,유지
K129990,986,1929,44,94.2,5,27.600001,621.473702,82.553487,1.956389,2.140909,5.52,1035,2050.800001,1.981449,2672.273703,이탈
K130000,286,813,49,207.6,2,25.2,266.869328,0,2.842657,4.236735,12.6,337,1045.8,3.103264,1312.669328,유지
K130010,519,1474.199999,94,292.500002,12,34.800001,220.982753,54.685916,2.840462,3.111702,2.9,625,1801.500002,2.8824,2022.482755,이탈
K130020,398,672,208,412.200001,7,79.799999,327.229397,0,1.688442,1.981731,11.4,613,1164,1.898858,1491.229397,유지
K130030,443,1259.4,345,569.4,5,14.4,401.222119,54.133906,2.842889,1.650435,2.88,793,1843.2,2.324338,2244.422119,유지
K130040,447,1269,229,438.3,30,52.8,531.66064,48.196093,2.838926,1.913974,1.76,706,1760.1,2.493059,2291.76064,유지
K130050,393,1117.2,193,293.1,32,54.6,406.139914,23.346244,2.842748,1.518653,1.70625,618,1464.9,2.370388,1871.039914,유지
K130060,429,1221,97,529.8,9,139.8,185.682342,56.830397,2.846154,5.461856,15.533333,535,1890.6,3.533832,2076.282342,유지
K130070,576,952.199999,164,356.100001,10,31,439.501094,11.916894,1.653125,2.171341,3.1,750,1339.3,1.785733,1778.801094,유지
K130080,628,981.600001,77,238.8,0,0,372.196399,1.999853,1.563057,3.101299,0,705,1220.400001,1.731064,1592.5964,유지
K130090,950,1502.4,74,386.4,20,42,517.342606,64.972617,1.581474,5.221622,2.1,1044,1930.8,1.849425,2448.142606,이탈
K130100,281,799.8,67,208.499999,8,92.4,327.347985,0,2.846263,3.11194,11.55,356,1100.699999,3.091854,1428.047984,이탈
K130110,380,1083.6,334,514.200001,10,74.5,533.954978,38.91681,2.851579,1.539521,7.45,724,1672.300001,2.309807,2206.254979,유지
K130120,755,1477.8,110,356.4,1,4.5,568.754067,57.6018,1.957351,3.24,4.5,866,1838.7,2.12321,2407.454067,유지
K130130,370,1054.8,12,45.6,10,34,243.528646,0,2.850811,3.8,3.4,392,1134.4,2.893878,1377.928646,이탈
K130140,481,1373.4,8,271.200001,4,23.4,288.96995,42.667123,2.855301,33.9,5.85,493,1668.000001,3.383367,1956.969951,유지
K130150,298,853.2,32,562.8,18,42,373.039153,20.448888,2.863087,17.5875,2.333333,348,1458,4.189655,1831.039153,이탈
K130160,548,1074.599999,32,73.799999,6,14.5,243.626609,0,1.960949,2.30625,2.416667,586,1162.899998,1.984471,1406.526607,유지
K130170,463,1323.600001,83,163.5,3,12.6,376.880773,28.210409,2.858747,1.96988,4.2,549,1499.700001,2.731694,1876.580774,이탈
K130180,774,1439.4,12,168,21,60,226.816959,43.544389,1.85969,14,2.857143,807,1667.4,2.066171,1894.216959,유지
K130190,326,934.799999,154,240.6,33,81.6,401.150526,4.969475,2.867485,1.562338,2.472727,513,1256.999999,2.450292,1658.150525,유지
K130200,306,878.400001,7,644.7,36,60.599999,399.458081,29.82597,2.870588,92.1,1.683333,349,1583.7,4.537822,1983.158081,유지
K130210,518,855.600001,99,201.9,20,70,245.816816,0,1.651737,2.039394,3.5,637,1127.500001,1.770016,1373.316817,이탈
K130220,269,773.400001,71,265.8,1,72.6,232.641506,0,2.875093,3.743662,72.6,341,1111.800001,3.260411,1344.441507,이탈
K130230,814,1287.599999,208,430.499999,1,73.2,193.627355,50.816545,1.581818,2.069712,73.2,1023,1791.299998,1.751026,1984.927353,유지
K130240,221,636,75,375.599999,7,60.599999,272.450448,0,2.877828,5.008,8.657143,303,1072.199998,3.538614,1344.650446,유지
K130250,424,832.199999,171,508.500001,31,159.499998,256.60576,23.336438,1.962736,2.973684,5.145161,626,1500.199998,2.396486,1756.805758,이탈
K130260,395,970.8,9,41.100002,2,12,322.842396,0,2.457722,4.566667,6,406,1023.900002,2.521921,1346.742398,이탈
K130270,422,646.8,170,352.8,11,48,188.516395,0,1.532701,2.075294,4.363636,603,1047.6,1.737313,1236.116395,이탈
K130280,393,771.599999,9,483.9,43,79.5,183.160457,10.651347,1.963359,53.766667,1.848837,445,1334.999999,3,1518.160456,유지
K130290,467,772.2,395,594,3,26,208.379845,14.940299,1.653533,1.503797,8.666667,865,1392.2,1.60948,1600.579845,유지
K130300,685,1345.800001,249,573.899999,36,62.4,612.571545,65.656389,1.964672,2.304819,1.733333,970,1982.1,2.043402,2594.671545,유지
K130310,747,1468.2,15,384.3,6,37.8,591.835771,61.322873,1.965462,25.62,6.3,768,1890.3,2.461328,2482.135771,이탈
K130320,577,1134,251,521.399999,10,45.500001,546.959781,41.742647,1.965338,2.077291,4.55,838,1700.9,2.029714,2247.859781,유지
K130330,563,1106.4,145,227.7,30,48.6,357.170564,16.444585,1.965187,1.570345,1.62,738,1382.7,1.873577,1739.870564,유지
K130340,1317,2014.799999,21,70.5,8,38,381.982105,89.970983,1.529841,3.357143,4.75,1346,2123.299999,1.577489,2505.282104,유지
K130350,551,1084.199999,9,18.900001,11,41.400001,337.711502,0,1.967695,2.1,3.763636,571,1144.500001,2.004378,1482.211503,유지
K130360,663,1123.199999,49,266.4,2,30.6,256.16651,19.717528,1.694118,5.436735,15.3,714,1420.199999,1.989076,1676.366509,유지
K130370,479,1177.2,94,610.2,16,46.2,214.505516,52.019058,2.45762,6.491489,2.8875,589,1833.6,3.113073,2048.105516,유지
K130380,715,1210.2,231,396.599999,7,18,279.391021,37.060192,1.692587,1.716883,2.571429,953,1624.799999,1.704932,1904.19102,이탈
K130390,507,998.4,28,439.800001,14,34.199999,227.516738,22.855403,1.969231,15.707143,2.442857,549,1472.4,2.681967,1699.916738,유지
K130400,433,804,266,693.3,41,77.4,203.914686,28.300593,1.856813,2.606391,1.887805,740,1574.7,2.127973,1778.614686,유지
K130410,342,673.8,94,555.9,6,24.6,345.452524,4.173475,1.970175,5.91383,4.1,442,1254.3,2.837783,1599.752524,이탈
K130420,1216,2394,147,327.899999,15,53,267.921082,146.680973,1.96875,2.230612,3.533333,1378,2774.899999,2.013716,3042.821081,유지
K130430,527,979.8,119,477.599999,2,49.8,190.847757,25.345224,1.859203,4.013445,24.9,648,1507.199999,2.325926,1698.047756,이탈
K130440,546,1074.6,3,57.9,10,61.5,273.999717,0,1.968132,19.3,6.15,559,1194,2.135957,1467.999717,유지
K130450,490,1202.4,24,83.7,24,61,420.367401,13.919956,2.453878,3.4875,2.541667,538,1347.1,2.503903,1767.467401,이탈
K130460,633,1176.6,12,108.9,0,0,324.830591,8.295021,1.858768,9.075,0,645,1285.5,1.993023,1610.330591,유지
K130470,569,857.4,159,374.4,37,109.8,366.199805,11.604742,1.506854,2.354717,2.967568,765,1341.6,1.753725,1707.799805,유지
K130480,344,845.4,207,359.099999,13,98.4,374.033288,8.483387,2.457558,1.734783,7.569231,564,1302.899999,2.310106,1676.933287,유지
K130490,574,1407,282,638.400001,1,21,639.998771,72.816341,2.45122,2.26383,21,857,2066.400001,2.411202,2706.398772,유지
K130500,842,1428,6,575.1,1,3.6,360.682746,69.038035,1.695962,95.85,3.6,849,2006.7,2.363604,2367.382746,이탈
K130510,549,1082.399999,237,412.499999,7,27.600001,403.203462,27.588842,1.971585,1.740506,3.942857,793,1522.499999,1.919924,1925.703461,유지
K130520,470,927.6,17,83.4,10,33.6,334.650092,0,1.973617,4.905882,3.36,497,1044.6,2.101811,1379.250092,유지
K130530,658,1007.4,21,86.099999,71,125.4,292.333186,1.726026,1.531003,4.1,1.766197,750,1218.899999,1.6252,1511.233185,유지
K130540,933,1477.2,64,427.8,29,62.500001,261.437599,67.186971,1.58328,6.684375,2.155172,1026,1967.500001,1.917641,2228.9376,유지
K130550,836,1419,45,152.699998,40,92.4,506.299896,42.992209,1.697368,3.393333,2.31,921,1664.099998,1.80684,2170.399894,유지
K130560,698,1106.4,374,751.2,2,48.5,584.553815,55.797866,1.5851,2.008556,24.25,1074,1906.1,1.774767,2490.653815,유지
K130570,1243,2455.200001,54,229.799999,56,103.5,708.120033,149.356598,1.975221,4.255556,1.848214,1353,2788.5,2.060976,3496.620033,유지
K130580,277,679.799999,51,363.599999,14,24.599999,286.011579,0,2.454152,7.129412,1.757143,342,1067.999997,3.122807,1354.011576,유지
K130590,599,1182.6,69,262.800001,8,91.800001,284.546713,29.830749,1.97429,3.808696,11.475,676,1537.200002,2.273965,1821.746715,유지
K130600,827,1403.4,6,95.7,31,125.4,250.839419,39.561204,1.696977,15.95,4.045161,864,1624.5,1.880208,1875.339419,유지
K130610,301,596.400001,38,353.400001,47,73,268.797533,0,1.981395,9.3,1.553191,386,1022.800002,2.649741,1291.597535,유지
K130620,640,1263.6,51,306.300001,10,19.8,272.074631,34.972983,1.974375,6.005882,1.98,701,1589.700001,2.26776,1861.774632,이탈
K130630,853,1684.799999,7,193.200001,45,100.5,463.949705,72.071747,1.975147,27.6,2.233333,905,1978.5,2.186188,2442.449705,유지
K130640,1034,1637.4,19,276.900001,21,45,566.456338,69.692602,1.583559,14.573684,2.142857,1074,1959.300001,1.824302,2525.756339,유지
K130650,477,943.799999,150,371.7,29,97.200001,287.038894,17.740055,1.978616,2.478,3.351724,656,1412.7,2.153506,1699.738894,이탈
K130660,630,1246.2,79,150.3,20,74.399999,203.746156,25.020817,1.978095,1.902532,3.72,729,1470.899999,2.017695,1674.646155,이탈
K130670,775,1531.2,124,421.2,25,40.8,221.654156,70.127285,1.975742,3.396774,1.632,924,1993.2,2.157143,2214.854156,이탈
K130680,669,1059.6,43,358.500001,1,9,277.748145,19.785914,1.583857,8.337209,9,713,1427.100001,2.001543,1704.848146,유지
K130690,500,989.4,391,590.4,46,90.500002,528.320862,37.444079,1.9788,1.509974,1.967391,937,1670.300002,1.782604,2198.620864,유지
K130700,823,1285.799999,104,180.3,42,168.600001,188.256967,38.831018,1.562333,1.733654,4.014286,969,1634.7,1.686997,1822.956967,유지
K130710,460,781.199999,36,428.4,8,60.6,331.679313,5.668723,1.698261,11.9,7.575,504,1270.199999,2.520238,1601.879312,이탈
K130720,610,934.2,28,113.700001,17,94.2,272.751967,0,1.531475,4.060714,5.541176,655,1142.100001,1.743664,1414.851968,유지
K130730,1067,2112,121,416.700001,8,16.8,396.768064,123.093032,1.979381,3.443802,2.1,1196,2545.500001,2.128344,2942.268065,이탈
K130740,635,1257.6,260,492.6,12,45.6,382.114967,50.651959,1.980472,1.894615,3.8,907,1795.8,1.979934,2177.914967,유지
K130750,637,1083,37,58.8,17,52.8,325.352541,0,1.700157,1.589189,3.105882,691,1194.6,1.728799,1519.952541,이탈
K130760,578,954,30,272.399999,8,42,343.498065,5.992281,1.650519,9.08,5.25,616,1268.399999,2.059091,1611.898064,이탈
K130770,903,1534.2,123,423,15,30,558.07104,69.747537,1.699003,3.439024,2,1041,1987.2,1.908934,2545.27104,유지
K130780,771,1310.4,268,439.8,3,39,409.613061,51.036338,1.699611,1.641045,13,1042,1789.2,1.717083,2198.813061,이탈
K130790,1413,2400,16,91.2,7,15.5,626.965075,127.888954,1.698514,5.7,2.214286,1436,2506.7,1.745613,3133.665075,이탈
K130800,523,888.6,52,701.099999,12,84.6,390.676983,36.301243,1.699044,13.482692,7.05,587,1674.299999,2.8523,2064.976982,유지
K130810,555,943.199999,90,419.399999,1,6,308.277395,14.239715,1.699459,4.66,6,646,1368.599998,2.118576,1676.877393,유지
K130820,710,1087.800001,83,340.199999,17,78,256.809404,26.351355,1.532113,4.098795,4.588235,810,1506,1.859259,1762.809404,유지
